block_raw,block_matched,row_number,side,structure,variety_raw,variety_matched,variety_id,rootstock_raw,rootstock_matched,rootstock_id,planting_year,tree_count,length_m,area_m2
Cherries,Rainier,17,,PORTION,Rain,Rainier,e943c121-4548-415a-b784-b9906b8fec6b,Mazzard,Mazzard,ebd6a7f5-9f5f-4af0-ae69-080f96f94eb4,2001,29,29,145
Cherries,Rainier,17,,PORTION,Rain,Rainier,e943c121-4548-415a-b784-b9906b8fec6b,Mazzard,Mazzard,ebd6a7f5-9f5f-4af0-ae69-080f96f94eb4,2006,31,31,155
Cherries,Rainier,17,,PORTION,Rain,Rainier,e943c121-4548-415a-b784-b9906b8fec6b,Mazzard,Mazzard,ebd6a7f5-9f5f-4af0-ae69-080f96f94eb4,1987,50,50,250
Cherries,Van,18,,PORTION,Van,Van,e4ac9ea7-6d6a-489b-9b7e-f91b19f79a7c,Mazzard,Mazzard,ebd6a7f5-9f5f-4af0-ae69-080f96f94eb4,2018,53,53,265
Cherries,Van,18,,PORTION,Van,Van,e4ac9ea7-6d6a-489b-9b7e-f91b19f79a7c,Mazzard,Mazzard,ebd6a7f5-9f5f-4af0-ae69-080f96f94eb4,1987,50,50,250
Cherries,Van,18,,PORTION,Van,Van,e4ac9ea7-6d6a-489b-9b7e-f91b19f79a7c,Mazzard,Mazzard,ebd6a7f5-9f5f-4af0-ae69-080f96f94eb4,2018,50,50,250
Cherries,Van,18,,PORTION,Van,Van,e4ac9ea7-6d6a-489b-9b7e-f91b19f79a7c,Mazzard,Mazzard,ebd6a7f5-9f5f-4af0-ae69-080f96f94eb4,2018,13,13,65
Cherries,Lapin,19,,PORTION,Lap,Lapin,494d73da-11fc-401b-9164-9b3a48f01003,Mazzard,Mazzard,ebd6a7f5-9f5f-4af0-ae69-080f96f94eb4,2006,12,12,60
Cherries,Lapin,19,,PORTION,Lap,Lapin,494d73da-11fc-401b-9164-9b3a48f01003,Mazzard,Mazzard,ebd6a7f5-9f5f-4af0-ae69-080f96f94eb4,2006,52,52,260
Cherries,Lapin,19,,PORTION,Lap,Lapin,494d73da-11fc-401b-9164-9b3a48f01003,Mazzard,Mazzard,ebd6a7f5-9f5f-4af0-ae69-080f96f94eb4,2001,51,51,255
Cherries,Lapin,19,,PORTION,Lap,Lapin,494d73da-11fc-401b-9164-9b3a48f01003,Mazzard,Mazzard,ebd6a7f5-9f5f-4af0-ae69-080f96f94eb4,2006,48,48,240
Cherries,Rainier,20,,PORTION,Rain,Rainier,e943c121-4548-415a-b784-b9906b8fec6b,Mazzard,Mazzard,ebd6a7f5-9f5f-4af0-ae69-080f96f94eb4,2006,167,167,835
Cherries,Van,21,,PORTION,Van,Van,e4ac9ea7-6d6a-489b-9b7e-f91b19f79a7c,Mazzard,Mazzard,ebd6a7f5-9f5f-4af0-ae69-080f96f94eb4,1987,166,166,830
Cherries,Rainier,22,,PORTION,Rain,Rainier,e943c121-4548-415a-b784-b9906b8fec6b,Mazzard,Mazzard,ebd6a7f5-9f5f-4af0-ae69-080f96f94eb4,2018,165,165,825
Cherries,Chelan,23,,PORTION,Chelan,Chelan,2547ce91-4b05-4e14-9b66-8f3f0b24b2e1,Mazzard,Mazzard,ebd6a7f5-9f5f-4af0-ae69-080f96f94eb4,2018,164,164,820
Cherries,Chelan,24,,PORTION,Chelan,Chelan,2547ce91-4b05-4e14-9b66-8f3f0b24b2e1,Mazzard,Mazzard,ebd6a7f5-9f5f-4af0-ae69-080f96f94eb4,2024,150,164,820
Cherries,Chelan,24,,PORTION,Chelan,Chelan,2547ce91-4b05-4e14-9b66-8f3f0b24b2e1,Mazzard,Mazzard,ebd6a7f5-9f5f-4af0-ae69-080f96f94eb4,2018,14,14,70
Cherries,Van,25,,PORTION,Van,Van,e4ac9ea7-6d6a-489b-9b7e-f91b19f79a7c,Mazzard,Mazzard,ebd6a7f5-9f5f-4af0-ae69-080f96f94eb4,2021,81,81,405
Cherries,Van,25,,PORTION,Rain,Rainier,e943c121-4548-415a-b784-b9906b8fec6b,Mazzard,Mazzard,ebd6a7f5-9f5f-4af0-ae69-080f96f94eb4,1997,81,81,405
Cherries,Lapin,26,,PORTION,Lap,Lapin,494d73da-11fc-401b-9164-9b3a48f01003,Mazzard,Mazzard,ebd6a7f5-9f5f-4af0-ae69-080f96f94eb4,1997,160,160,800
Cherries,Van,27,,PORTION,Van,Van,e4ac9ea7-6d6a-489b-9b7e-f91b19f79a7c,Mazzard,Mazzard,ebd6a7f5-9f5f-4af0-ae69-080f96f94eb4,1997,157,157,785
Cherries,Rainier,28,,PORTION,Rain,Rainier,e943c121-4548-415a-b784-b9906b8fec6b,Mazzard,Mazzard,ebd6a7f5-9f5f-4af0-ae69-080f96f94eb4,2012,156,156,780
Cherries,Rainier,29,,PORTION,Rain,Rainier,e943c121-4548-415a-b784-b9906b8fec6b,Mazzard,Mazzard,ebd6a7f5-9f5f-4af0-ae69-080f96f94eb4,2012,156,156,780
GS/PL Trellis,GSPL Pink Lady,1,,PORTION,P/L,Pink Lady,23ee67fb-37d2-442b-ab9d-d9ddeaa4b7d8,104,MM.104,aaad9070-e35e-41e4-aa2d-5955c6db065a,2001,346,173,865
GS/PL Trellis,GSPL Pink Lady,2,,PORTION,P/L,Pink Lady,23ee67fb-37d2-442b-ab9d-d9ddeaa4b7d8,104,MM.104,aaad9070-e35e-41e4-aa2d-5955c6db065a,2001,346,173,865
