block_raw,block_matched,block_id,row_number,side,row_length_m,row_width_m,structure
GS/PL Trellis,GSPL Granny Smith,6cf24a54-480f-4a38-9993-10cd06563dbc,9,,170,4.5,PORTION
GS/PL Trellis,GSPL Granny Smith,6cf24a54-480f-4a38-9993-10cd06563dbc,10,,170,4.5,PORTION
GS/PL Trellis,GSPL Granny Smith,6cf24a54-480f-4a38-9993-10cd06563dbc,11,,170,4.5,PORTION
GS/PL Trellis,GSPL Pink Lady,27f226ec-a67d-4228-9dbf-d2d4843065bf,12,,170,5,PORTION
GS/PL Trellis,GSPL Granny Smith,6cf24a54-480f-4a38-9993-10cd06563dbc,13,,170,5,PORTION
GS/PL Trellis,GSPL Granny Smith,6cf24a54-480f-4a38-9993-10cd06563dbc,14,,170,4.5,PORTION
GS/PL Trellis,GSPL Granny Smith,6cf24a54-480f-4a38-9993-10cd06563dbc,15,,170,4.5,PORTION
GS/PL Trellis,GSPL Granny Smith,6cf24a54-480f-4a38-9993-10cd06563dbc,16,,169,4.5,PORTION
GS/PL Trellis,GSPL Pink Lady,27f226ec-a67d-4228-9dbf-d2d4843065bf,17,,170,5,PORTION
GS/PL Trellis,GSPL Granny Smith,6cf24a54-480f-4a38-9993-10cd06563dbc,18,,170,5,PORTION
GS/PL Trellis,GSPL Granny Smith,6cf24a54-480f-4a38-9993-10cd06563dbc,19,,170,5,PORTION
GS/PL Trellis,GSPL Granny Smith,6cf24a54-480f-4a38-9993-10cd06563dbc,20,,170,5,PORTION
GS/PL Trellis,GSPL Granny Smith,6cf24a54-480f-4a38-9993-10cd06563dbc,21,,168,5,PORTION
GS/PL Trellis,GSPL Pink Lady,27f226ec-a67d-4228-9dbf-d2d4843065bf,22,,168,5,PORTION
GS/PL Trellis,GSPL Granny Smith,6cf24a54-480f-4a38-9993-10cd06563dbc,23,,168,5,PORTION
GS/PL Trellis,GSPL Granny Smith,6cf24a54-480f-4a38-9993-10cd06563dbc,24,,167,5,PORTION
